1,2,3,tierra_ejidal_2012,34,viv_dren_2012,viv_piso_2012,viv_des_2012,povline_2012,gini_2012,pobocu_2012,emp_form_2012,crec_mancha_2012,den_2012,sal_men_2012,prod_trab_2012,pobocusin_2012,crec_pobocusin_2012,merc_hip_2012,cartera_vencida_2012,pib_sector_2012,pib _state_2012,crec_sal_2012,num_sec_2012,unemp_2012,transp_2012,carre_2012,fdi_2012,fronterano_2012,inv_pea_2012,hab_2012,pobocup_2012,pea_2012,vivhab_2012,pib_2012,areakm_2012,autos_2012,tam_cd_2012,region,vivtot_2012
Culiacán,70,Sinaloa,0.569967915,-0.025099774,80.60209192,2.246783929,21.55235364,0.027094517,0.381654931,0.542021413,-0.058813582,0.28968595,8130.089028,5933.368164,214.9047247,0.09195709,0.206313744,9.246220717,0.057759617,0.577442839,0.017915739,-0.016445881,668,0.043207162,1,0.357559269,84.45505712,0,90.6846289,907938.5251,378557,395652,231873.2092,85179312.7,6305.61,257420,De 500 mil a un millón,Noroeste,280735
Mazatlán,71,Sinaloa,0.260239895,-0.043933245,81.53939846,1.979100359,21.70859928,0.04245875,0.371079443,0.477033021,-0.130632421,0.565138438,8745.885858,5929.241699,161.2655499,0.054029267,0.041698208,8.357330209,0.063025265,0.291637435,0.017915739,-0.009084051,587,0.036813035,2,0.383647799,74.99394325,1,71.04965682,463904.13,220251,228669,129121.2944,37014885.62,2533.76,102392,De 250 a 500 mil,Noroeste,156362
Ciudad Obregon ,72,Sonora,0.34719363,-0.026432231,98.23610315,1.727088241,20.85407148,0.020738014,0.334438321,0.553562837,-0.070661578,0.793658042,7393.317073,5702.516602,162.240962,0.117576308,0.043705477,5.492527855,0.043651025,0.263566616,0.031090827,-0.007996718,590,0.083772433,2,1,25.78978815,0,43.86024026,430402.9151,224484,245009,118526.6596,39834802.59,4882.65,75760,De 250 a 500 mil,Noroeste,142049
Guaymas,39,Sonora,0.487673748,-0.189600164,86.37461138,3.948769162,22.15911505,0.019076189,0.365132207,0.384722991,-0.217437331,0.585365649,5997.346698,4726.715332,279.3929173,0.045871827,0.056365997,5.440602623,0.05168455,0.192893756,0.031090827,-0.040738011,478,0.015960356,2,0.997389034,21.99591275,1,75.60180171,214130.6912,34313,60337,58364.26253,16857730.45,8580.45,31252,Menos de 250 mil,Noroeste,70603
Hermosillo,73,Sonora,0.135128239,0.000204975,96.08013155,2.17273029,21.21459403,0.012505945,0.319561625,0.611619722,-0.012381256,0.640098,6406.782546,6230.598633,500.398648,0.148380623,0.116963451,13.68972043,0.059355579,0.322446349,0.031090827,-0.01202594,732,0.054885389,1,1,61.9961838,0,133.2826733,830696.292,347788,367985,227240.8141,187609775.4,15720.35,181819,De 500 mil a un millón,Noroeste,270823
Cárdenas,74,Tabasco,0.677075629,-0.013635425,47.59020258,5.649497192,12.23987534,0.077221558,0.358081792,0.280487805,-0.095188223,-0.002146593,2386.685208,4371.19873,44.74280526,0.116346989,0.212890657,2.875438686,0.053715975,0.042835909,0.040075822,-0.026939516,397,0.065418492,2,0.746336996,38.71684427,0,10.22289952,255960.9438,126690,135558,64900.28892,83538033.11,2049.24,27636,De 250 a 500 mil,Sur-Sureste,68669
Villahermosa,40,Tabasco,0.230814416,-0.024679062,47.90137217,2.285144643,17.29013111,0.044608158,0.412460595,0.499840241,-0.086070337,0.345753578,7860.82206,6191.4375,240.526061,0.153893898,0.114435287,9.579293079,0.030891605,0.286994111,0.040075822,0.008019099,616,0.056024545,1,0.704091342,19.66961671,1,102.0824707,790559.3803,272285,288445,221766.7059,146890526.4,2258.29,169040,De 500 mil a un millón,Sur-Sureste,245296
Tampico-Pánuco,41,Tamaulipas,0.275664608,-0.028300201,86.39573571,1.745105723,20.01017371,0.029439351,0.36893401,0.548744555,-0.062363193,0.549194479,5555.031995,6132.490234,375.56463,0.204133009,0.131261852,9.087056583,0.041373274,0.226256914,0.020339782,-0.02500471,657,0.051442725,1,0.810720268,153.4408366,2,127.4586415,897870.4958,351947,371034,254723.8223,224653507.6,5285.85,159531,De 500 mil a un millón,Noreste,302741
Matamoros,43,Tamaulipas,0.141667889,-0.021136921,89.22446043,0.65871554,24.0217534,0.025086943,0.358662561,0.518892482,-0.032434302,2.036960161,5647.575618,5653.76416,158.5105248,0.048629304,0.029477313,4.406578131,0.088891502,0.187376745,0.016582768,-0.01961221,564,0.082521036,3,0.776859504,53.29205427,2,33.77628355,508330.9392,240863,262527,138729.0786,41951537.39,4634,98001,De 500 mil a un millón,Noreste,175237
Nuevo Laredo,44,Tamaulipas,0.137320218,0.033958348,89.49923141,0.454099778,23.16534174,0.027365114,0.273534713,0.447285411,-0.082422415,0.501116367,3824.648939,5432.503906,184.2165593,0.139780165,0.100558372,4.116473919,0.065335294,0.508979389,0.016582768,-0.023110062,504,0.061802916,2,0.678899083,45.16131581,2,38.58814101,400342.6312,143926,153407,107645.9456,28265733.07,1201.9,71780,De 250 a 500 mil,Noreste,132586
Reynosa-Río Bravo,42,Tamaulipas,0.214605355,-0.134447204,81.40478636,0.552631052,26.49909566,0.016256716,0.258395143,0.489811359,-0.092411175,1.043190841,5193.557603,5874.002441,239.2066955,0.150424317,0.317483654,11.67022933,0.076885613,0.264231891,0.016582768,-0.087097017,595,0.054860878,1,0.581986143,155.7630008,2,85.26696566,771107.3835,298715,316054,220007.543,179077801.1,4722.51,232130,De 500 mil a un millón,Noreste,274232
Ciudad Victoria,75,Tamaulipas,0.182290169,-0.017627491,92.43769894,0.943029423,16.12263247,0.02733127,0.297458643,0.575687558,-0.039874908,0.423748078,6866.674167,6577.642578,128.6404801,0.110724374,0.108781226,8.682858018,0.044376442,0.629346089,0.016582768,-0.089631266,513,0.059757636,2,0.717171717,41.3778618,0,25.51922258,338828.5279,169222,179977,90576.1771,23225785.28,1469.97,82534,De 250 a 500 mil,Noreste,102322
Tlaxcala-Apizaco,45,Tlaxcala,0.382308419,0.057400238,86.66122718,1.756918872,20.79902488,0.064936328,0.371584353,0.370240198,-0.019939764,0.353768736,2028.286642,5967.378418,198.5602204,0.167211911,0.107793116,3.367559646,0.066779167,0.290376888,0.021907779,0.002756548,615,0.078550168,3,0.680814941,66.1471279,0,57.12506102,523227.555,217945,236524,130180.7406,46967111.78,708.56,121623,De 500 mil a un millón,Centro,154238
Veracruz,46,Veracruz,0.447283427,-0.022279832,70.446606,2.856471576,25.9631568,0.044973385,0.348915123,0.434440241,-0.058803152,1.458531337,10452.94269,5465.961426,363.5168008,0.246490141,0.038503328,14.18170688,0.06512869,0.478126824,0.023769432,0.044699577,680,0.038935401,1,0.853858785,-5.871331451,2,87.47515175,839673.2566,365613,380425,254875.2826,177463552.5,1641.5,216323,De 500 mil a un millón,Sur-Sureste,325596
Córdoba,52,Veracruz,0.432279791,0.034695078,71.95003725,4.97671125,14.9818211,0.069651412,0.336863408,0.388438948,-0.162786238,1.566657897,7353.001396,5280.581055,270.1767026,0.187407472,-0.090397921,4.467574665,0.061627737,0.490456153,0.023769432,0.030968013,549,0.023434473,2,0.91160221,-2.427361751,0,64.2250552,325456.2283,103347,105827,88775.695,28596151.88,461.62,58492,De 250 a 500 mil,Sur-Sureste,99841
Orizaba,49,Veracruz,0.508153817,0.097153031,69.08763501,7.472542696,14.48963644,0.048353931,0.345853147,0.416169766,-0.059854983,0.625813912,5898.509522,5147.559082,295.7159321,0.170028573,-0.052584795,4.297603308,0.046629575,0.466746528,0.023769432,-0.012515177,519,0.016882402,2,0.854700855,-2.660421095,0,71.27692962,439780.0041,141041,143463,116308.8704,42450810.1,620.15,68116,De 250 a 500 mil,Sur-Sureste,129251
Xalapa,47,Veracruz,0.512069481,-0.02940329,70.29607869,2.536382649,17.59288307,0.054667486,0.361889743,0.466654861,-0.034817299,0.89463519,8408.41428,5791.771973,97.95567013,0.061762064,-0.070238995,5.782276002,0.04016112,0.519835844,0.023769432,-0.087846295,629,0.028211432,0,0.937343358,-1.511423899,0,22.28207985,694709.142,395275,406750,196669.8519,39848820.72,866.66,158673,De 500 mil a un millón,Sur-Sureste,223130
Poza Rica,48,Veracruz,0.510813373,-0.05916341,59.71883976,13.05405817,12.48431867,0.103460994,0.440892924,0.325096415,-0.154616777,0.593211821,8416.948041,5500.783203,79.59296535,0.16223028,-0.035203577,3.700442038,0.032497912,0.396800444,0.023769432,0.001086692,501,0.011784044,0,0.858321871,-3.624535535,0,26.20615812,526964.0707,217031,219619,137943.4637,63852801.99,2791.7,89270,De 500 mil a un millón,Sur-Sureste,151454
Coatzacoalcos,51,Veracruz,0.44609252,0.096981714,73.26844174,2.148607722,20.05927338,0.076593312,0.501479816,0.650900729,-0.047351378,0.52909102,5241.615094,5958.57666,287.9755836,0.157576797,0.0549819,12.44681496,0.044080353,0.281047224,0.023769432,-0.02814833,542,0.02190688,2,0.852173913,-14.90503311,1,287.6788019,359610.0701,157428,160954,103950.5712,191983202.7,496.27,86938,De 250 a 500 mil,Sur-Sureste,123833
Minatitlán,50,Veracruz,0.629441809,-0.022396345,71.07540902,5.362361652,14.95264761,0.045877852,0.436598777,0.525547266,-0.153769602,1.027717668,4294.946937,6122.128906,277.5155399,0.088897872,-0.141794126,4.677533819,0.015326438,0.209851501,0.023769432,0.019333045,352,0.017795264,2,0.727626459,-8.838363321,1,338.126373,367715.1393,81633,83112,101864.8192,116704918.1,2927.83,57663,De 250 a 500 mil,Sur-Sureste,113933
Mérida,53,Yucatán,0.486598702,-0.017620774,1.985350439,0.523095672,20.61189416,0.053528931,0.400647901,0.511537571,-0.064258885,1.721880448,4305.894327,6081.498047,249.8771066,0.130961955,0.06934357,9.596818753,0.037566856,0.254578038,0.024443274,-0.01877353,740,0.023031181,1,0.493333333,34.74490186,0,94.22302831,1018566.699,474970,486167,283613.5105,121875288.1,1528.31,373345,Más de un millón,Sur-Sureste,335156
Zacatecas-Guadalupe,54,Zacatecas,0.573652397,-0.048901427,89.39577008,0.446279021,21.46969873,0.053277895,0.372587041,0.553132487,-0.125003554,0.944027534,7923.746162,6474.895996,122.1868689,0.223860392,-0.010737177,8.820987065,0.020594852,0.335877983,0.050515648,-0.00369542,566,0.056282084,2,0.769975787,82.45035745,0,56.11793475,324680.2176,121884,129153,88088.38908,17478027.67,1396.72,81307,De 250 a 500 mil,Centro-Occidente,103164
