orden reporte,zm_flag,nombre_zm,nombre_zm_match_sina,nombre_zm_match,estado,clasificacion,pob_1980,pob_2000,pob_2005,pob_2010,cambio_pob,area_1980,area_2000,area_2005,area_2010,cambio_area,sub_2015,sub_2010,normativa,remuneraciones_1980,remuneraciones_2000,remunera_2009,remunera_2014,autos_2014,autos_1980,tasamoto_1980,autos_2000,tasamoto_2000,autos_2005,tasamoto_2005,autos_2010,tasamoto_2010,tam_fam_1980,tam_fam_2000,tam_fam_2005,tam_fam_2010
1,1,Valle de M_xico,Valle de Mexico,Valle de M_xico,Ciudad de Mexico,1 millon +,14122991,18396677,19239910,20116842,1.424403797,51908,167081,174616,185291,3.569603915,132363101.6,90716100.52,,,,136,167,4737749,1869808,132.3946181,2511543,136.5215577,2696220,140.1368302,4166756,207.127739,,,3.67,3.58
19,0,Saltillo,Saltillo,Saltillo,Coahuila,500mil - 1 millon,344850,637273,725259,823128,2.38691605,1497,18171,18804,19177,12.81028724,21580479.31,46005439.95,,,,105,105,244101,29499,85.5415398,94069,147.6117771,178396,245.9755756,225863,274.3959627,,,4,3.87
9,0,La Laguna,La Laguna,La Laguna,Coahuila,1 millon +,689195,1007291,1110890,1215817,1.764111754,2364,14904,16976,18993,8.034263959,134260685,144841560,,,,67,80.5,,54619,79.25042985,82219,81.62388029,153970,138.6005815,171201,140.8114873,,,4.035,3.91
45,1,Monclova-Frontera ,Monclova-Frontera ,Monclova-Frontera ,Coahuila,100mil - 500mil,170478,282853,294191,317313,1.861313483,1589,8124,8536,8690,5.468848332,8801730.12,13418424.78,,,,118.5,139.5,70225,11469,67.27554289,31829,112.5284158,55046,187.1097348,65846,207.5111956,,,3.84,3.68
65,1,Piedras Negras ,Piedras Negras ,Piedras Negras ,Coahuila,100mil - 500mil,80290,151149,169771,180734,2.25101507,547,5463,5848,6250,11.42595978,9717167.69,11739819.81,,,,80,96,49253,10080,125.5448997,36476,241.3247855,56936,335.3694094,49184,272.1347395,,,3.79,3.72
80,0,Ciudad Acu–a ,Acu–a ,Acu–a ,Coahuila,100mil - 500mil,38898,108159,124232,134233,3.450897218,587,2652,3010,3346,5.700170358,22502091.55,10951546.33,,,,82,94,23602,6447,165.7411692,18286,169.0659122,31644,254.7169811,26617,198.2895413,,,3.99,3.73
130,0,Sabinas,Sabinas,Sabinas,Coahuila,50mil- 100mil,27413,47578,47933,54905,2.002881844,298,2150,2191,2223,7.459731544,7259751.23,5568130.9,,,,77,95,19070,6823,248.896509,8952,188.1541889,15178,316.6503244,17323,315.5086058,,,3.7,3.55
44,1,Colima-Villa de çlvarez ,Colima-Villa de alvarez ,Colima-Villa de çlvarez ,Colima,100mil - 500mil,119969,275677,294828,334240,2.786053064,920,5355,5774,6369,6.922826087,49869039.57,33169322.13,,,,76,64,140236,26504,220.9237386,38065,138.0782583,82225,278.8914214,112448,336.4289134,,,3.63,3.44
76,0,Manzanillo ,Manzanillo ,Manzanillo ,Colima,100mil - 500mil,39088,104791,119668,140290,3.589081048,180,3296,3505,3836,21.31111111,7922750.89,2853008,,,,53,85,67369,162,4.144494474,13162,125.6023895,34505,288.3394057,50966,363.2903272,,,3.63,3.5
74,1,Tecom‡n ,Tecoman ,Tecom‡n ,Colima,100mil - 500mil,88911,127863,123089,141421,1.590590591,415,2344,2426,2500,6.024096386,13565248.64,3262670.31,,,,77,68,38945,8824,99.24531273,10583,82.76827542,21786,176.9938825,30364,214.7064439,,,3.91,3.9
30,0,Victoria de Durango,Victoria,Victoria,Durango,500mil - 1 millon,257915,427135,463830,518709,2.011162592,984,5189,5603,6049,6.147357724,52027181.2,42102978.78,1,,,69,83,225751,1693,6.564178121,4294,10.05302773,6641,14.31774573,8032,15.48459734,,,4.04,3.89
5,0,Toluca,Toluca,Toluca,Estado de Mexico,1 millon +,568004,1540452,1710766,1936126,3.408648531,1309,29928,32456,18993,14.50954927,281297.28,7907490.08,,,,136,116,361682,51545,90.74760037,178995,116.1964151,136450,79.75959307,257797,133.1509416,,,4.12,4.13
71,0,Tianguistenco ,Tianguistenco ,Tianguistenco ,Estado de Mexico,100mil - 500mil,38868,127413,137567,157944,4.063599877,168,2161,2259,2610,15.53571429,29090.9,20000,,,,143,106,16894,0,0,5742,45.06604507,5815,42.27031192,10935,69.23339918,,,4.17,4.55
7,0,Le—n,Leon,Le—n,Guanajuato,1 millon +,732845,1269179,1425210,1609504,2.196240678,2502,12327,14999,17031,6.806954436,174407399.3,137654748.9,,,,77,83,460462,47751,65.15838956,172263,135.7278997,259257,181.9079294,362300,225.1004036,,,4.41,4.31
29,0,Celaya,Celaya,Celaya,Guanajuato,500mil - 1 millon,141675,496541,535711,602045,4.249479442,967,5547,6641,7484,7.739400207,28519357.05,39429342.66,,,,96,100,156321,22754,160.6070231,59806,120.4452402,89911,167.8348961,127529,211.8263585,,,4.09,3.91
38,0,Irapuato ,Irapuato ,Irapuato ,Guanajuato,100mil - 500mil,170138,326973,351308,393862,2.314956094,633,4001,4660,4917,7.767772512,13181740.04,26374362.27,,,,70,83,158894,19389,113.9604321,59140,180.8712034,86065,244.9844581,122483,310.9794801,,,4.32,4.31
68,0,Salamanca ,Salamanca ,Salamanca ,Guanajuato,100mil - 500mil,96703,137000,143838,160169,1.65629815,405,2499,2628,2710,6.691358025,12206204.28,16087669.12,,,,136,227,24783,11412,118.0108166,35955,262.4452555,52018,361.6429594,71223,444.674063,,,4.07,3.94
64,1,San Francisco del Rinc—n ,San Francisco del Rincon ,San Francisco del Rinc—n ,Guanajuato,100mil - 500mil,66575,145017,159127,182365,2.739241457,325,2192,2265,2369,7.289230769,1242245.06,14521519.82,,,,50,60,42225,2473,37.14607585,15476,106.7185227,23446,147.3414317,32938,180.615798,,,4.41,4.43
111,0,San Miguel de Allende ,San Miguel de Allende ,San Miguel de Allende ,Guanajuato,50mil- 100mil,30003,59691,62034,69811,2.326800653,248,1037,1152,1956,7.887096774,179980.92,117118.29,,,,60,64,38871,1603,53.42799053,13309,222.9649361,23048,371.5381887,32506,465.6286259,,,4.56,4.28
90,0,Guanajuato ,Guanajuato ,Guanajuato ,Guanajuato,100mil - 500mil,48981,93513,101564,110011,2.245993344,182,1414,1841,1921,10.55494505,785201.26,823238.41,,,,182,77,61664,9663,197.2805782,20626,220.5682632,32503,320.0248119,49522,450.1549845,,,4.26,4.04
