orden reporte,zm_flag,nombre_zm,nombre_zm_match_sina,nombre_zm_match,estado,clasificacion,remuneraciones_2014,remuneraciones_2009,remuneraciones_2000,remuneraciones_1980,autos_2014,autos_1980,autos_2000,autos_2005,autos_2010,tam_fam_2010,tam_fam_2005,tam_fam_2000,tam_fam_1980,pob_1980,pob_2000,pob_2005,pob_2010,area_1980,area_2000,area_2005,area_2010,dis_sub_2015,normativa
34,1,Matamoros ,Matamoros ,Matamoros ,Tamaulipas,100mil - 500mil,97,92,,,140186,26245,121053,144765,126459,3.68,3.78,,,238840,418141,462157,489193,1082,7055,7720,8662,58171187.85,
39,1,Nuevo Laredo ,Nuevo Laredo ,Nuevo Laredo ,Tamaulipas,100mil - 500mil,125,106,,,110642,30113,105130,109552,102172,3.81,3.92,,,203286,310915,355827,384033,1967,8851,9663,10041,21266862.53,
48,0,Ciudad Victoria ,Victoria ,Victoria ,Tamaulipas,100mil - 500mil,82,85,,,125053,14253,58741,99171,112407,3.75,3.8,,,140161,249029,278455,305155,709,4063,4274,4444,10392604.36,
104,0,Ciudad Mante ,El Mante ,El Mante ,Tamaulipas,50mil- 100mil,73,58,,,38283,7565,22902,30667,33927,3.46,3.55,,,70647,80533,81884,84787,611,1642,1701,1760,2990371.98,
17,0,Tampico,Tampico,Tampico,"Tamaulipas, Veracruz",500mil - 1 millon,71,92,,,105457,22279,65991,95209,89559,3.45,3.58,,,436900,746417,803196,859419,2906,14385,14905,15471,2053164.12,
33,1,Tlaxcala-Apizaco,Tlaxcala-Apizaco,Tlaxcala-Apizaco,Tlaxcala,100mil - 500mil,67,79.5,,,59962,9179,33174,58234,94002,3.865,3.95,9179,9179,131837,408401,457655,499567,431,23478,23874,24630,4455443.88,
124,0,Huamantla,Huamantla,Huamantla,Tlaxcala,50mil- 100mil,67,56,,,28524,1623,9256,14050,19813,4.34,4.62,,,21944,46195,53459,58912,219,2081,2083,2435,1502068.33,
20,0,Veracruz,Veracruz,Veracruz,Veracruz,500mil - 1 millon,138,112,,,215746,40795,73110,122063,183669,3.38,3.46,,,413411,687820,751006,811671,1838,6355,6936,7765,243604140.4,
27,0,Xalapa,Xalapa,Xalapa,Veracruz,500mil - 1 millon,61,76,,,178023,22003,68472,104723,156873,3.57,3.63,,,263400,554990,595043,666535,917,6749,7161,7927,1166135.68,
31,0,Poza Rica,Poza Rica,Poza Rica,Veracruz,500mil - 1 millon,173,131,,,86331,11241,35011,53519,75649,3.72,3.7,,,344984,467258,481389,513518,1664,5379,5871,6101,269163.92,
37,1,Orizaba ,Orizaba ,Orizaba ,Veracruz,100mil - 500mil,78,65,,,43369,6105,18017,27049,37526,3.56,3.56,,,209247,381730,395899,427406,1124,6506,6906,7246,132124.48,
42,1,Minatitlán ,Minatitlan ,Minatitlán ,Veracruz,100mil - 500mil,293,165,,,55560,9873,21612,32986,46261,3.48,3.74,,,217025,323389,330781,356137,2130,7631,7686,8292,367505.85,
43,1,Coatzacoalcos ,Coatzacoalcos ,Coatzacoalcos ,Veracruz,100mil - 500mil,213,157,,,112225,23472,39977,65063,91189,3.45,3.58,,,207746,307724,321182,347257,845,6141,6356,6625,37153320.19,
46,1,Córdoba ,Cordoba ,Córdoba ,Veracruz,100mil - 500mil,70,63,,,63015,15125,25686,39895,54750,3.6,3.75,,,156076,276553,293768,316032,901,3801,3835,4298,5514674.77,
89,1,Acayucan ,Acayucan ,Acayucan ,Veracruz,100mil - 500mil,57,47,,,20470,1898,6304,10320,15416,3.79,3.95,,,52106,102992,105552,112996,544,1447,1480,1584,1119605.56,
92,0,Túxpam de Rodríguez Cano ,Tuxpam de Rodriguez Cano ,Túxpam de Rodríguez Cano ,Veracruz,100mil - 500mil,93,73,,,34115,5834,11891,19939,28144,3.65,3.76,,,56037,93531,100586,108418,214,2068,2185,2299,5340210.39,
105,0,Martínez de la Torre ,Martinez de la Torre ,Martínez de la Torre ,Veracruz,50mil- 100mil,62,48,,,27965,5194,12052,19415,26264,3.63,3.8,,,25837,65505,72765,78219,241,1393,1576,1623,70324.32,
117,0,San Andrés Tuxtla,San Andrés Tuxtla,San Andrés Tuxtla,Veracruz,50mil- 100mil,58,46,,,16965,2762,5182,9250,14571,3.92,4.12,,,40412,54853,58757,61769,290,735,748,849,4992822.71,
12,0,Merida,Merida,Merida,Yucatan,500mil - 1 millon,80,70,,,466473,65143,171552,269306,378852,3.58,3.74,,,443918,803920,897740,973046,4775,18757,19687,22598,74693971.63,
47,1,Zacatecas-Guadalupe ,Zacatecas-Guadalupe ,Zacatecas-Guadalupe ,Zacatecas,100mil - 500mil,75.5,61.5,,,59983,7738,63598,93244,131351,3.81,4.07,,,140166,242720,271965,309660,489,2846,3457,3908,#N/A,
82,0,Fresnillo ,Fresnillo ,Fresnillo ,Zacatecas,100mil - 500mil,92,95,,,47817,3090,32003,49580,69742,4,4.15,,,56066,101151,115432,125846,467,1796,2103,2238,4765684.24,
