orden reporte,zm_flag,nombre_zm,nombre_zm_match_sina,nombre_zm_match,estado,clasificacion,remuneraciones_2014,remuneraciones_2009,remuneraciones_2000,remuneraciones_1980,autos_2014,autos_1980,autos_2000,autos_2005,autos_2010,tam_fam_2010,tam_fam_2005,tam_fam_2000,tam_fam_1980,pob_1980,pob_2000,pob_2005,pob_2010,area_1980,area_2000,area_2005,area_2010,dis_sub_2015,normativa
76,0,Manzanillo ,Manzanillo ,Manzanillo ,Colima,100mil - 500mil,85,53,,,67369,162,13162,34505,50966,3.5,3.63,,,39088,104791,119668,140290,180,3296,3505,3836,7922750.89,
30,0,Victoria de Durango,Victoria,Victoria,Durango,500mil - 1 millon,83,69,,,225751,1693,4294,6641,8032,3.89,4.04,,,257915,427135,463830,518709,984,5189,5603,6049,52027181.2,1
5,0,Toluca,Toluca,Toluca,Estado de Mexico,1 millon +,116,136,,,361682,51545,178995,136450,257797,4.13,4.12,,,568004,1540452,1710766,1936126,1309,29928,32456,18993,281297.28,
71,0,Tianguistenco ,Tianguistenco ,Tianguistenco ,Estado de Mexico,100mil - 500mil,106,143,,,16894,0,5742,5815,10935,4.55,4.17,,,38868,127413,137567,157944,168,2161,2259,2610,29090.9,
7,0,León,Leon,León,Guanajuato,1 millon +,83,77,,,460462,47751,172263,259257,362300,4.31,4.41,,,732845,1269179,1425210,1609504,2502,12327,14999,17031,174407399.3,
29,0,Celaya,Celaya,Celaya,Guanajuato,500mil - 1 millon,100,96,,,156321,22754,59806,89911,127529,3.91,4.09,,,141675,496541,535711,602045,967,5547,6641,7484,28519357.05,
38,0,Irapuato ,Irapuato ,Irapuato ,Guanajuato,100mil - 500mil,83,70,,,158894,19389,59140,86065,122483,4.31,4.32,,,170138,326973,351308,393862,633,4001,4660,4917,13181740.04,
64,1,San Francisco del Rincón ,San Francisco del Rincon ,San Francisco del Rincón ,Guanajuato,100mil - 500mil,60,50,,,42225,2473,15476,23446,32938,4.43,4.41,,,66575,145017,159127,182365,325,2192,2265,2369,1242245.06,
68,0,Salamanca ,Salamanca ,Salamanca ,Guanajuato,100mil - 500mil,227,136,,,24783,11412,35955,52018,71223,3.94,4.07,,,96703,137000,143838,160169,405,2499,2628,2710,12206204.28,
90,0,Guanajuato ,Guanajuato ,Guanajuato ,Guanajuato,100mil - 500mil,77,182,,,61664,9663,20626,32503,49522,4.04,4.26,,,48981,93513,101564,110011,182,1414,1841,1921,785201.26,
