orden reporte,zm_flag,nombre_zm,nombre_zm_match_sina,nombre_zm_match,estado,clasificacion,pob_1980,den_1980,pob_2000,den_2000,pob_2005,den_2005,pob_2010,den_2010,den_change,cambio_pob,area_1980,area_2000,area_2005,area_2010,cambio_area,sub_2015,sub_2010,sub_2010_nueva_eco,normativa,remuneraciones_1980,remuneraciones_2000,remunera_2009,remunera_2014,autos_2014,autos_1980,tasamoto_1980,autos_2000,tasamoto_2000,autos_2005,tasamoto_2005,autos_2010,tasamoto_2010,tam_fam_1980,tam_fam_2000,tam_fam_2005,tam_fam_2010,cambio_fam,PIB_2010
26,0,Culiacàn Rosales,Culiacan,Culiacàn,Sinaloa,500mil - 1 millon,304826,166,540823,76,605304,75,675773,81,0.49,2.2,1833,7118,8049,8312,4.5,47223158.15,48606675.71,48606675.71,,,,73,76,435697,44080,145,158647,293,224084,370,343230,508,,,4.04,3.81,0.943069307,#N/A
40,0,Mazatlàn ,Mazatlan ,Mazatlàn ,Sinaloa,100mil - 500mil,199830,233,327989,84,352471,85,381583,87,0.37,1.9,856,3908,4171,4363,5.1,45584340.63,41521368.25,41521368.25,,,,68,72,166021,16561,83,57129,174,84421,240,127392,334,,,3.7,3.55,0.959459459,198396967.1
53,0,Los Mochis ,Ahome,Ahome,Sinaloa,100mil - 500mil,122531,140,200906,78,231977,77,256613,78,0.56,2.1,878,2587,2994,3273,3.7,55212205.1,44720554.31,44720554.31,,,,76,83,165203,18895,154,55767,278,88544,382,131386,512,,,3.91,3.66,0.936061381,#N/A
110,0,Guasave ,Guasave ,Guasave ,Sinaloa,50mil- 100mil,35236,189,62801,57,66793,57,71196,54,0.28,2,186,1095,1169,1321,7.1,9540328.52,11265190.12,11265190.12,,,,53,56,93982,12924,367,35949,572,52342,784,77990,1095,,,4.12,3.97,0.963592233,#N/A
115,0,GuamÏchil ,Salvador Alvarado,Salvador Alvarado,Sinaloa,50mil- 100mil,36308,137,57547,58,61862,61,63743,55,0.4,1.8,265,985,1018,1149,4.3,10737232.87,8660262.06,8660262.06,,,,52,74,37722,4627,127,13754,239,22715,367,31637,496,,,3.94,3.83,0.972081218,83809398.49
23,0,Hermosillo,Hermosillo,Hermosillo,Sonora,500mil - 1 millon,297175,140,545928,61,641791,62,715061,64,0.46,2.4,2118,8960,10412,11161,5.3,95723482.87,70312752.51,70312752.51,,,,100,99,292791,47405,160,146414,268,207060,323,292090,408,,,3.78,3.61,0.955026455,6443628.648
49,0,Ciudad ObregÑn ,Cajeme,Cajeme,Sonora,100mil - 500mil,165572,162,255425,76,275502,73,303126,74,0.46,1.8,1020,3369,3800,4100,4,61500985.68,82150156.2,82150156.2,,,,70,77,138284,29542,178,84263,330,93043,338,132861,438,,,3.75,3.56,0.949333333,15978647.01
60,0,Heroica Nogales ,Nogales ,Nogales ,Sonora,100mil - 500mil,65603,121,156854,64,189759,66,212533,63,0.52,3.2,540,2443,2865,3347,6.2,39255824.66,31460113.06,31460113.06,,,,94,111,87618,18222,278,61307,391,72504,382,109181,514,,,3.9,3.79,0.971794872,37099278.65
62,1,Guaymas ,Guaymas ,Guaymas ,Sonora,100mil - 500mil,139025,375,180316,61,184816,58,203430,60,0.16,1.5,371,2971,3206,3392,9.1,9530048.79,22422661.57,22422661.57,,,,71,91,36213,10634,76,21545,119,25477,138,43861,216,,,3.84,3.55,0.924479167,169113533.2
69,0,San Luis RÕo Colorado ,San Luis Rio Colorado ,San Luis RÕo Colorado ,Sonora,100mil - 500mil,76684,55,126645,33,138796,32,158089,35,0.63,2.1,1387,3791,4378,4527,3.3,4558205.73,4371222.7,4371222.7,,,,66,84,55319,13198,172,52164,412,52655,379,72262,457,,,3.8,3.69,0.971052632,146899510.8
88,0,Navojoa ,Navojoa ,Navojoa ,Sonora,100mil - 500mil,62901,163,98187,44,103312,44,113836,48,0.29,1.8,387,2230,2360,2385,6.2,14196834.33,15453172.77,15453172.77,,,,63,82,38561,9760,155,23668,241,-,-,43597,383,,,4.02,3.85,0.957711443,#N/A
107,0,Agua Prieta ,Agua Prieta ,Agua Prieta ,Sonora,50mil- 100mil,28862,57,60420,46,68402,45,77254,44,0.77,2.7,509,1325,1512,1764,3.5,6409547.56,3606938.21,3606938.21,,,,73,88,24161,5326,185,24772,410,21204,310,31533,408,,,3.85,3.86,1.002597403,3417661.316
120,0,Heroica Caborca,Caborca,Caborca,Sonora,50mil- 100mil,33696,93,49917,32,52330,31,59922,31,0.33,1.8,361,1542,1671,1930,5.3,9855324.95,5147259.83,5147259.83,,,,84,111,31333,7862,233,20450,410,23307,445,33375,557,,,3.82,3.67,0.960732984,#N/A
126,0,Puerto Penasco,Puerto Pe_asco,Puerto Pe_asco,Sonora,50mil- 100mil,17666,83,30466,29,44647,32,56756,25,0.3,3.2,213,1046,1407,2285,10.7,5910751.8,15576474.96,15576474.96,,,,68,64,19339,3132,177,12746,418,14718,330,24405,430,,,3.87,3.63,0.937984496,6977225.794
21,0,Villahermosa,Centro,Centro,Tabasco,500mil - 1 millon,250903,787,600580,78,644629,71,755425,79,0.1,3,319,7697,9092,9610,30.1,40784847.76,38367488.66,38367488.66,,,,117,262,254759,19693,78,101684,169,129512,201,205838,272,,,3.79,3.56,0.939313984,28828053.51
99,0,Càrdenas ,Cardenas ,Càrdenas ,Tabasco,50mil- 100mil,34078,355,81944,43,83099,40,95379,44,0.13,2.8,96,1904,2053,2149,22.4,2051971.06,1891368.86,1891368.86,,,,111,84,45477,4071,119,17237,210,21642,260,36226,380,,,4.26,3.84,0.901408451,#N/A
22,0,Reynosa-Rio Bravo,Reynosa-Rio Bravo,Reynosa-Rio Bravo,Tamaulipas,500mil - 1 millon,294934,129,524692,50,633730,52,727150,52,0.4,2.5,2291,10579,12131,14001,6.1,140811539,135411836.8,135411836.8,,,,92,100.5,302307,83916,285,193399,369,259744,410,293153,403,,,3.52,3.62,1.028409091,#N/A
34,1,Matamoros ,Matamoros ,Matamoros ,Tamaulipas,100mil - 500mil,238840,221,418141,59,462157,60,489193,56,0.26,2,1082,7055,7720,8662,8,58171187.85,45445556.61,45445556.61,,,,92,97,140186,26245,110,121053,290,144765,313,126459,259,,,3.78,3.68,0.973544974,#N/A
39,1,Nuevo Laredo ,Nuevo Laredo ,Nuevo Laredo ,Tamaulipas,100mil - 500mil,203286,103,310915,35,355827,37,384033,38,0.37,1.9,1967,8851,9663,10041,5.1,21266862.53,30768649.66,30768649.66,,,,106,125,110642,30113,148,105130,338,109552,308,102172,266,,,3.92,3.81,0.971938776,35199962.39
48,0,Ciudad Victoria ,Victoria ,Victoria ,Tamaulipas,100mil - 500mil,140161,198,249029,61,278455,65,305155,69,0.35,2.2,709,4063,4274,4444,6.3,10392604.36,10245353.41,10245353.41,,,,85,82,125053,14253,102,58741,236,99171,356,112407,368,,,3.8,3.75,0.986842105,#N/A
